Barangay,Municipality,Province,Region,Latitude,Longitude
Angoluan,Echague,Isabela,Cagayan Valley (Region II),16.7162,121.6621
Annafunan,Echague,Isabela,Cagayan Valley (Region II),16.7093,121.7217
Arabiat,Echague,Isabela,Cagayan Valley (Region II),16.6516,121.6146
Aromin,Echague,Isabela,Cagayan Valley (Region II),16.7036,121.7648
Babaran,Echague,Isabela,Cagayan Valley (Region II),16.6748,121.7179
Bacradal,Echague,Isabela,Cagayan Valley (Region II),16.6297,121.6898
Benguet,Echague,Isabela,Cagayan Valley (Region II),16.6313,121.8773
Buneg,Echague,Isabela,Cagayan Valley (Region II),16.705,121.6467
Busilelao,Echague,Isabela,Cagayan Valley (Region II),16.6754,121.6965
Cabugao,Echague,Isabela,Cagayan Valley (Region II),16.7054,121.6727
Caniguing,Echague,Isabela,Cagayan Valley (Region II),16.6476,121.748
Carulay,Echague,Isabela,Cagayan Valley (Region II),16.7156,121.711
Castillo,Echague,Isabela,Cagayan Valley (Region II),16.7332,121.6908
Dammang East,Echague,Isabela,Cagayan Valley (Region II),16.6925,121.6766
Dammang West,Echague,Isabela,Cagayan Valley (Region II),16.6868,121.6716
Diasan,Echague,Isabela,Cagayan Valley (Region II),16.6332,121.8076
Dicaraoyan,Echague,Isabela,Cagayan Valley (Region II),16.6833,121.8492
Dugayong,Echague,Isabela,Cagayan Valley (Region II),16.7047,121.7038
Fugu,Echague,Isabela,Cagayan Valley (Region II),16.7255,121.6531
Garit Norte,Echague,Isabela,Cagayan Valley (Region II),16.6586,121.6561
Garit Sur,Echague,Isabela,Cagayan Valley (Region II),16.6519,121.667
Gucab,Echague,Isabela,Cagayan Valley (Region II),16.7003,121.6832
Gumbaoan,Echague,Isabela,Cagayan Valley (Region II),16.7509,121.6743
Ipil,Echague,Isabela,Cagayan Valley (Region II),16.6921,121.6446
Libertad,Echague,Isabela,Cagayan Valley (Region II),16.6784,121.6466
Mabbayad,Echague,Isabela,Cagayan Valley (Region II),16.6595,121.8541
Mabuhay,Echague,Isabela,Cagayan Valley (Region II),16.7215,121.7181
Madadamian,Echague,Isabela,Cagayan Valley (Region II),16.641,121.8368
Magleticia,Echague,Isabela,Cagayan Valley (Region II),16.6856,121.82
Malibago,Echague,Isabela,Cagayan Valley (Region II),16.731,121.6769
Maligaya,Echague,Isabela,Cagayan Valley (Region II),16.6916,121.6519
Malitao,Echague,Isabela,Cagayan Valley (Region II),16.6755,121.6622
Narra,Echague,Isabela,Cagayan Valley (Region II),16.6855,121.7782
Nilumisu,Echague,Isabela,Cagayan Valley (Region II),16.6251,121.7482
Pag-asa,Echague,Isabela,Cagayan Valley (Region II),16.692,121.7433
Pangal Norte,Echague,Isabela,Cagayan Valley (Region II),16.6078,121.6777
Pangal Sur,Echague,Isabela,Cagayan Valley (Region II),16.5999,121.6682
Rumang-ay,Echague,Isabela,Cagayan Valley (Region II),16.641,121.6756
Salay,Echague,Isabela,Cagayan Valley (Region II),16.6985,121.7015
Salvacion,Echague,Isabela,Cagayan Valley (Region II),16.6674,121.7685
San Antonio Minit,Echague,Isabela,Cagayan Valley (Region II),16.6329,121.6404
San Antonio Ugad,Echague,Isabela,Cagayan Valley (Region II),16.7192,121.7002
San Carlos,Echague,Isabela,Cagayan Valley (Region II),16.6304,121.7732
San Fabian,Echague,Isabela,Cagayan Valley (Region II),16.7132,121.679
San Felipe,Echague,Isabela,Cagayan Valley (Region II),16.6114,121.7082
San Juan,Echague,Isabela,Cagayan Valley (Region II),16.6377,121.665
San Manuel,Echague,Isabela,Cagayan Valley (Region II),16.6118,121.6292
San Miguel,Echague,Isabela,Cagayan Valley (Region II),16.5897,121.9744
San Salvador,Echague,Isabela,Cagayan Valley (Region II),16.6346,121.7151
Santa Ana,Echague,Isabela,Cagayan Valley (Region II),16.6219,121.6106
Sta. Cruz,Echague,Isabela,Cagayan Valley (Region II),16.6885,121.7058
Sta. Maria,Echague,Isabela,Cagayan Valley (Region II),16.5839,121.6149
Sta. Monica,Echague,Isabela,Cagayan Valley (Region II),16.6794,121.6235
Santo Domingo,Echague,Isabela,Cagayan Valley (Region II),16.7127,121.6975
Silauan Norte,Echague,Isabela,Cagayan Valley (Region II),16.7154,121.672
Silauan Sur,Echague,Isabela,Cagayan Valley (Region II),16.7056,121.6796
Sinabbaran,Echague,Isabela,Cagayan Valley (Region II),16.7271,121.7054
Soyung,Echague,Isabela,Cagayan Valley (Region II),16.7003,121.6649
Taggappan,Echague,Isabela,Cagayan Valley (Region II),16.7019,121.6748
Tuguegarao,Echague,Isabela,Cagayan Valley (Region II),16.7086,121.689
Villa Campo,Echague,Isabela,Cagayan Valley (Region II),16.6498,121.8036
Villa Fermin,Echague,Isabela,Cagayan Valley (Region II),16.5858,121.6403
Villa Rey,Echague,Isabela,Cagayan Valley (Region II),16.6714,121.8268
Villa Victoria,Echague,Isabela,Cagayan Valley (Region II),16.5829,121.6584
